title,desc,title+desc,area
"moving visitors, neighbors and the economy in monteverde: integrating safe and sustainable transport with intermodal hubs","general objective: to strengthen and promote accessible and safe mobility that allows the movement of locals and tourists to their destinations from an intermodal system that links different means including collective and electric transport and active mobility. specific objectives:-reduce the number of cars transporting a single person and thus also reduce the carbon footprint caused by the combustion of cars-increase the percentage of people with access to safe and sustainable mobility, implementing a gender approach and populations with fewer resources. - implement collective transport models that can be replicated in other districts-adapt and create inter-modal stations in which tourists and locals can exchange means of transport to meet their needs and tastes. -potentiate economic activity due to the increase in the flow of customers in businesses near the stations, provide transport alternatives within the reach of the user, distribute benefits in the most rural areas and increase employment to carriers.-facilitate the implementation of practices that guarantee safe means of transport for users and drivers. -improve the image of monteverde as a model of sustainability by reducing its greenhouse gas emissions and vehicle congestion. this project will integrate and promote an accessible, safe and sustainable transport system with different modes of mobility integrating intermodal nuclei. each station will allow travelers to reach a place with shops, services or attractions with the possibility of changing from one means of transport to another. the project has four main components:1. prototype different modes of collective transport in the monteverde area for neighbors, visitors in 5 categories: (1) know schedules, systems and payment and information about collective transport on the main route in the area from the monteverde cloud forest reserve to the santa elena cloud forest reserve, (2) create whatsapp groups for which like-minded people can request and organize shared rides,  (3) collective mobility for employees of companies, (4) collective transport for students in private educational centers and (5) collective transport from monteverde to other destinations in the country., all these under will be the context of an intermodal mobility system. 2. adapt and install intermodal transport hubs to link pedestrian, cyclist, shared and electric transport3. consolidate and publish information and clean mobility options under a visible and accessible system.4.  establish an association of users who can request collective transport through an application and / or central office. 5. promote the use of the system to national and international visitors and local visitors.","moving visitors, neighbors and the economy in monteverde: integrating safe and sustainable transport with intermodal hubs. general objective: to strengthen and promote accessible and safe mobility that allows the movement of locals and tourists to their destinations from an intermodal system that links different means including collective and electric transport and active mobility. specific objectives:-reduce the number of cars transporting a single person and thus also reduce the carbon footprint caused by the combustion of cars-increase the percentage of people with access to safe and sustainable mobility, implementing a gender approach and populations with fewer resources. - implement collective transport models that can be replicated in other districts-adapt and create inter-modal stations in which tourists and locals can exchange means of transport to meet their needs and tastes. -potentiate economic activity due to the increase in the flow of customers in businesses near the stations, provide transport alternatives within the reach of the user, distribute benefits in the most rural areas and increase employment to carriers.-facilitate the implementation of practices that guarantee safe means of transport for users and drivers. -improve the image of monteverde as a model of sustainability by reducing its greenhouse gas emissions and vehicle congestion. this project will integrate and promote an accessible, safe and sustainable transport system with different modes of mobility integrating intermodal nuclei. each station will allow travelers to reach a place with shops, services or attractions with the possibility of changing from one means of transport to another. the project has four main components:1. prototype different modes of collective transport in the monteverde area for neighbors, visitors in 5 categories: (1) know schedules, systems and payment and information about collective transport on the main route in the area from the monteverde cloud forest reserve to the santa elena cloud forest reserve, (2) create whatsapp groups for which like-minded people can request and organize shared rides,  (3) collective mobility for employees of companies, (4) collective transport for students in private educational centers and (5) collective transport from monteverde to other destinations in the country., all these under will be the context of an intermodal mobility system. 2. adapt and install intermodal transport hubs to link pedestrian, cyclist, shared and electric transport3. consolidate and publish information and clean mobility options under a visible and accessible system.4.  establish an association of users who can request collective transport through an application and / or central office. 5. promote the use of the system to national and international visitors and local visitors.",transport
electric routes costa rica,"the rutas eléctricas costa rica project seeks to create a network of charging points for electric vehicles in the shops of different communities throughout the national territory. an electric route is defined as a support network so that people who want to visit a destination in an electric car can have not only enough charging points along the way, but when they arrive in the community. charging points are located in restaurants, hotels, attractions and other businesses where drivers want to spend time. users will be able to charge their vehicles while resting, eating, shopping and running errands and/or enjoying the tourist attractions in the area. to date, electric routes have been launched in four communities and there are six more communities at different stages of organization.  it is expected to establish a total of 30 communities friendly to electric vehicles before the end of 2025.the costa rica electric routes would offer companies, communities and the country in general, an element of differentiation to stand out in the national market and ecotourism and accelerate the adoption of electric mobility.","electric routes costa rica. the rutas eléctricas costa rica project seeks to create a network of charging points for electric vehicles in the shops of different communities throughout the national territory. an electric route is defined as a support network so that people who want to visit a destination in an electric car can have not only enough charging points along the way, but when they arrive in the community. charging points are located in restaurants, hotels, attractions and other businesses where drivers want to spend time. users will be able to charge their vehicles while resting, eating, shopping and running errands and/or enjoying the tourist attractions in the area. to date, electric routes have been launched in four communities and there are six more communities at different stages of organization.  it is expected to establish a total of 30 communities friendly to electric vehicles before the end of 2025.the costa rica electric routes would offer companies, communities and the country in general, an element of differentiation to stand out in the national market and ecotourism and accelerate the adoption of electric mobility.",transport
"implementation of actions that allow the composting of biodegradable waste produced in the canton and process them in the same facilities, creating by-products for gardening.","this project aims to reduce the amount of organic waste sent to the landfill and consequently reduce greenhouse gas emissions from the disposal of that waste. the local government has implemented since 2019 the composting project at home by delivering homemade rotating compost bins. for the execution of this project there is a contract with the company 360 soluciones verdes.this project has provided local treatment to domestic organic waste, avoiding the sending of organic waste to the east landfill, seeks to give local treatment to garden waste generated by the cleaning of parks and public spaces in the canton.","implementation of actions that allow the composting of biodegradable waste produced in the canton and process them in the same facilities, creating by-products for gardening.. this project aims to reduce the amount of organic waste sent to the landfill and consequently reduce greenhouse gas emissions from the disposal of that waste. the local government has implemented since 2019 the composting project at home by delivering homemade rotating compost bins. for the execution of this project there is a contract with the company 360 soluciones verdes.this project has provided local treatment to domestic organic waste, avoiding the sending of organic waste to the east landfill, seeks to give local treatment to garden waste generated by the cleaning of parks and public spaces in the canton.",waste management
organic waste management centre,construction of a functioning organic waste management centre for 10% of bethlehem's population,organic waste management centre. construction of a functioning organic waste management centre for 10% of bethlehem's population,waste management
sustainable urban mobility in the canton,"a plan that has the promotion of public transport, carpoling, pacification of roads, etc. attached are several of the plans we are working on, at the local level, internally and at the regional level.","sustainable urban mobility in the canton. a plan that has the promotion of public transport, carpoling, pacification of roads, etc. attached are several of the plans we are working on, at the local level, internally and at the regional level.",transport
payment for environmental services,"the study has already been completed, it is in the approval phase.","payment for environmental services. the study has already been completed, it is in the approval phase.",other
boulevard of the guaycanes,"the project consists of the creation of a pedestrian boulevard within the canton of cañas, which will facilitate urban mobilization to more ecological means of transport, such as bicycles or walks through the city","boulevard of the guaycanes. the project consists of the creation of a pedestrian boulevard within the canton of cañas, which will facilitate urban mobilization to more ecological means of transport, such as bicycles or walks through the city",transport
"training and empowerment of citizens and institutions, through environmental education, specifically on the proper management of organic solid waste","the municipality of cañas has environmental goals focused on carrying out initiatives that favor the integral management of solid waste in the canton, with efforts based on separation at source, including both recoverable and organic. this project aims to create a community trained, empower and efficient in the correct management of organic waste, which is generated within their homes, which in turn brings benefits to the institution from the reduction of operating costs and payment of carbon offsets; as well as it will be possible to assess the decrease in the rate for the disposal of solid waste that users pay to the municipality.","training and empowerment of citizens and institutions, through environmental education, specifically on the proper management of organic solid waste. the municipality of cañas has environmental goals focused on carrying out initiatives that favor the integral management of solid waste in the canton, with efforts based on separation at source, including both recoverable and organic. this project aims to create a community trained, empower and efficient in the correct management of organic waste, which is generated within their homes, which in turn brings benefits to the institution from the reduction of operating costs and payment of carbon offsets; as well as it will be possible to assess the decrease in the rate for the disposal of solid waste that users pay to the municipality.",waste management
inter-municipal project for waste management: towards a circular economy,"the project aims to transform solid waste management through the good practices of the circular economy model, in accordance with law 8839 and thus contributing to the ghg reduction of the five local governments: curridabat, desamparados, la unión, montes deoca and san josé, which will be united in a commonwealth called komūnitas. it is currently working on forming a commonwealth, under the legal figure of a public company with public funds, which will be responsible for managing the financing and execution of the project.","inter-municipal project for waste management: towards a circular economy. the project aims to transform solid waste management through the good practices of the circular economy model, in accordance with law 8839 and thus contributing to the ghg reduction of the five local governments: curridabat, desamparados, la unión, montes deoca and san josé, which will be united in a commonwealth called komūnitas. it is currently working on forming a commonwealth, under the legal figure of a public company with public funds, which will be responsible for managing the financing and execution of the project.",waste management
continuity of boulevards,"central avenue boulevard extension: extend the central avenue boulevard from 11th street to 19th street for the expansion of pedestrian spaces in the improvement of pedestrian mobility (cost: 950,000,000 colones). boulevard calle 2: connect the central avenue with the station to the pacific for the promotion of pedestrian and cyclist mobility and the economic strengthening of the south of the city (cost not yet defined). inter-institutional coordination: mopt, aqueducts and sewers aya, costa rican electricity institute ice, national company of force and light cnfl, commerce, property owners, in relation to the execution and progress of work.","continuity of boulevards. central avenue boulevard extension: extend the central avenue boulevard from 11th street to 19th street for the expansion of pedestrian spaces in the improvement of pedestrian mobility (cost: 950,000,000 colones). boulevard calle 2: connect the central avenue with the station to the pacific for the promotion of pedestrian and cyclist mobility and the economic strengthening of the south of the city (cost not yet defined). inter-institutional coordination: mopt, aqueducts and sewers aya, costa rican electricity institute ice, national company of force and light cnfl, commerce, property owners, in relation to the execution and progress of work.",transport
"develop an integral management of solid waste with environmental, social and economic criteria, as well as increase its valorization","(1) strengthening and extension of selective collection in the canton, accompanied by a communication, education and awareness campaign on waste management.  (2) construction and operation of a municipal complex for the storage of recoverable waste collected classified. this complex or plant will include operations to treat separated waste, and will allow to provide especially some method of recovery to organic waste on a larger scale.  funding is pending, so no data on the cost of the project is yet available.","develop an integral management of solid waste with environmental, social and economic criteria, as well as increase its valorization. (1) strengthening and extension of selective collection in the canton, accompanied by a communication, education and awareness campaign on waste management.  (2) construction and operation of a municipal complex for the storage of recoverable waste collected classified. this complex or plant will include operations to treat separated waste, and will allow to provide especially some method of recovery to organic waste on a larger scale.  funding is pending, so no data on the cost of the project is yet available.",waste management
tactical urbanism interventions,"make proposals for intervention of tactical urbanism as pilot projects for the measurement of the impact and the possibilities of permanent change in the future. inter-institutional coordination with: mopt lanamme, civil society, private company.","tactical urbanism interventions. make proposals for intervention of tactical urbanism as pilot projects for the measurement of the impact and the possibilities of permanent change in the future. inter-institutional coordination with: mopt lanamme, civil society, private company.",other
"sidewalk improvement, accessibility promotion, road safety","road improvement: adapt the roads of san josé and its elements (widths and quality of road surface, sidewalk, pipe cord, green stripes, ramps, signage, etc.) to the safety standards, organization and accessibility of pedestrian and vehicular traffic. enabling zones 30: implement a sustainable urban center strategy between the residential, commercial, gastronomic and community sectors, in the escalante neighborhood for the reconversion of public space.  this seeks that the roads have a vehicular speed restriction of 30km / h.  improvement of sidewalks and road safety: adapt the roads and their elements (widths and quality of road surface, sidewalk, pipe cord, green stripes, ramps, signage, etc.) to the safety standards, organization and accessibility of pedestrian and vehicular traffic.  (cost: 120 000 000 colones) mobility regulations: update the regulations of the urban master plan for the fulfillment of the objectives of the organization.  collaborative work with different dependencies in multidisciplinary commissions, by theme, experience and specialty.","sidewalk improvement, accessibility promotion, road safety. road improvement: adapt the roads of san josé and its elements (widths and quality of road surface, sidewalk, pipe cord, green stripes, ramps, signage, etc.) to the safety standards, organization and accessibility of pedestrian and vehicular traffic. enabling zones 30: implement a sustainable urban center strategy between the residential, commercial, gastronomic and community sectors, in the escalante neighborhood for the reconversion of public space.  this seeks that the roads have a vehicular speed restriction of 30km / h.  improvement of sidewalks and road safety: adapt the roads and their elements (widths and quality of road surface, sidewalk, pipe cord, green stripes, ramps, signage, etc.) to the safety standards, organization and accessibility of pedestrian and vehicular traffic.  (cost: 120 000 000 colones) mobility regulations: update the regulations of the urban master plan for the fulfillment of the objectives of the organization.  collaborative work with different dependencies in multidisciplinary commissions, by theme, experience and specialty.",transport
public bicycle system (sbp),"facilitate the implementation of an electric-assisted bicycle loan service to encourage the urban use of the bicycle in short-distance and long-term trips, between previously registered and identified people. monitoring: collect information obtained from the application of the use of the pbs for the monitoring of data and its future planning according to the profile of the users. give traceability to the routes of people who travel by bicycle and who use bike parks for the development of new infrastructure. transitory law 9660, regulation bicycle rental system canton of san josé: establish a regulation for the regulation and implementation of law 9660 in compliance with transitory ii.expand the cycling infrastructure network for the safe mobilization of people in the west-east direction of the current bike path with the north-south, as well as the points of interest for the promotion of intermodality.","public bicycle system (sbp). facilitate the implementation of an electric-assisted bicycle loan service to encourage the urban use of the bicycle in short-distance and long-term trips, between previously registered and identified people. monitoring: collect information obtained from the application of the use of the pbs for the monitoring of data and its future planning according to the profile of the users. give traceability to the routes of people who travel by bicycle and who use bike parks for the development of new infrastructure. transitory law 9660, regulation bicycle rental system canton of san josé: establish a regulation for the regulation and implementation of law 9660 in compliance with transitory ii.expand the cycling infrastructure network for the safe mobilization of people in the west-east direction of the current bike path with the north-south, as well as the points of interest for the promotion of intermodality.",transport
plastic transformation center,work in a more integral way the plastic resudos by processes such as plasma reactors,plastic transformation center. work in a more integral way the plastic resudos by processes such as plasma reactors,waste management
drilling of wells and capture of new sources,it is intended to drill two water wells and the capatación of 4 new water sources for the future provision of water to the population.,drilling of wells and capture of new sources. it is intended to drill two water wells and the capatación of 4 new water sources for the future provision of water to the population.,water management
acquisition of automated compost bin for the treatment of organic waste in the commercial sector of the canton of zarcero,it is intended to purchase 8 automated compost bins for the treatment of 800 kilos per day of organic waste from the commercial sector of the canton.,acquisition of automated compost bin for the treatment of organic waste in the commercial sector of the canton of zarcero. it is intended to purchase 8 automated compost bins for the treatment of 800 kilos per day of organic waste from the commercial sector of the canton.,waste management
improvement in the water storage network of the municipal aqueduct of zarcero,it is intended to improve the storage capacity of the municipal aqueduct by building a drinking water storage tank of 300m3,improvement in the water storage network of the municipal aqueduct of zarcero. it is intended to improve the storage capacity of the municipal aqueduct by building a drinking water storage tank of 300m3,water management
guangarcucho treatment plant.,"the guangarcucho wastewater treatment plant will treat cuenca wastewater with a capacity of 1,200 liters per second (l/s) equivalent to 40% of what is generated in cuenca, which consists of a primary sedimentation section with three tanks with three tanks of 35 meters (m) in diameter and four deep, these will be equipped with auxiliary units that will allow the handling of foams and sedimented sludge. it will treat 1,200 liters per second (l / s) and double as maximum hourly flow. this is equivalent to 40% of what is generated in cuenca, with a population of 590,000 inhabitants.","guangarcucho treatment plant.. the guangarcucho wastewater treatment plant will treat cuenca wastewater with a capacity of 1,200 liters per second (l/s) equivalent to 40% of what is generated in cuenca, which consists of a primary sedimentation section with three tanks with three tanks of 35 meters (m) in diameter and four deep, these will be equipped with auxiliary units that will allow the handling of foams and sedimented sludge. it will treat 1,200 liters per second (l / s) and double as maximum hourly flow. this is equivalent to 40% of what is generated in cuenca, with a population of 590,000 inhabitants.",water management
carbon footprint offset scheme,"forests, compensation and avoided deforestation. the ministry of environment of the dmq is working on a carbon footprint offset mechanism (greenhouse gas emissions), through a pilot. this project seeks to implement local sustainability actions with a possible reduction of the carbon footprint, which will be financed with resources from territorial actors interested in offsetting their emissions that are no longer feasible to reduce, in the context of their sustainability policies. one of the compensation options is precisely to maintain and manage forest areas where avoided deforestation is guaranteed.","carbon footprint offset scheme. forests, compensation and avoided deforestation. the ministry of environment of the dmq is working on a carbon footprint offset mechanism (greenhouse gas emissions), through a pilot. this project seeks to implement local sustainability actions with a possible reduction of the carbon footprint, which will be financed with resources from territorial actors interested in offsetting their emissions that are no longer feasible to reduce, in the context of their sustainability policies. one of the compensation options is precisely to maintain and manage forest areas where avoided deforestation is guaranteed.",other
electricity generation from biogas.,"generation of electricity with biogas from the quito landfill. this project consists of the use of biogas from the quito landfill for the generation of electricity, as part of the district's zero waste policy, which promotes the prevention, minimization and separation of waste sources, as well as responsible and efficient collection, treatment and disposal of waste. the metropolitan public solid waste management company (emgirs) is in charge of the quito landfill ""el inga"", where domestic solid waste collected from the city and 33 rural parishes are deposited since 2003 (approximately 2,000 tons per day, of which 57% is organic waste, 24% is recyclable waste and 19% is rejects). there is a network of pipes to capture biogas within the entire ""el inga"" landfill, which leads to a chimney where the biogas is incinerated. with an investment of approximately us$7 million, by the end of 2015 there will be a biogas power plant assembled within the ""el inga"" landfill, starting to generate 2mw/h, and expecting to generate 5mw/h by the end of 2016. the generation of electricity through biogas from the quito landfill contributes to the national grid, as a source of conventional renewable energies, supporting the new national energy matrix. it also mitigates the environmental impact caused by the emission of greenhouse gases, in this case, methane. this action will reduce 144,000 tco2e per year.","electricity generation from biogas.. generation of electricity with biogas from the quito landfill. this project consists of the use of biogas from the quito landfill for the generation of electricity, as part of the district's zero waste policy, which promotes the prevention, minimization and separation of waste sources, as well as responsible and efficient collection, treatment and disposal of waste. the metropolitan public solid waste management company (emgirs) is in charge of the quito landfill ""el inga"", where domestic solid waste collected from the city and 33 rural parishes are deposited since 2003 (approximately 2,000 tons per day, of which 57% is organic waste, 24% is recyclable waste and 19% is rejects). there is a network of pipes to capture biogas within the entire ""el inga"" landfill, which leads to a chimney where the biogas is incinerated. with an investment of approximately us$7 million, by the end of 2015 there will be a biogas power plant assembled within the ""el inga"" landfill, starting to generate 2mw/h, and expecting to generate 5mw/h by the end of 2016. the generation of electricity through biogas from the quito landfill contributes to the national grid, as a source of conventional renewable energies, supporting the new national energy matrix. it also mitigates the environmental impact caused by the emission of greenhouse gases, in this case, methane. this action will reduce 144,000 tco2e per year.",renewable energy
efficient public lighting,"this project consists of the modernization, replacement and expansion of the public lighting system of the metropolitan district of quito (dmq), replacing conventional luminaires (around 223,000) with efficient public lighting, promoting energy efficiency, citizen security, reducing the city's carbon footprint and generating savings for citizens and the municipal government. a total replacement of conventional luminaires could mean halving (0.5%) the contribution of street lighting to quito's carbon footprint. the project promotes energy security, by reducing electricity consumption in street lighting (6% of total electricity consumption in the city; double the regional average), in addition, the installation of led lamps, which have better efficiency rates (conversion of energy into luminous flux) than conventional lamps, improves lighting levels within public space and reduces visual pollution and light waste. due to their physical strength and technology, led lamps have a much longer service life (up to 40 times) than conventional incandescent lamps, and can be recycled. the project improves access to electricity, as the energy saved can be distributed to users who currently do not have access to electricity services in homes, businesses and industries. in addition, a proper lighting design improves light levels, increases the safety and aesthetic appeal of the city for residents and visitors. in cooperation with the national government, the local public electricity company (empresa eléctrica de quito - eeq) and private stakeholders, in recent years the municipality has rehabilitated and optimized public lighting, focusing efforts on the historic center of quito, where 2,940 conventional bulbs have been replaced by efficient lighting systems (led),  with an investment of us $ 3 million, which implies a reduction in consumption equivalent to us $ 128,000 per year, which represents the displacement of 715,000 tco2e. the next step of the project is to replace the ornamental street lighting in quito, located in urban parks and green areas, which means the replacement of 1,756 luminaires concentrated mainly on poles (77%), the floor (17%) and facades (6%), with a budget of approximately us $ 1 million. in addition, all conventional quito rays will be replaced.","efficient public lighting. this project consists of the modernization, replacement and expansion of the public lighting system of the metropolitan district of quito (dmq), replacing conventional luminaires (around 223,000) with efficient public lighting, promoting energy efficiency, citizen security, reducing the city's carbon footprint and generating savings for citizens and the municipal government. a total replacement of conventional luminaires could mean halving (0.5%) the contribution of street lighting to quito's carbon footprint. the project promotes energy security, by reducing electricity consumption in street lighting (6% of total electricity consumption in the city; double the regional average), in addition, the installation of led lamps, which have better efficiency rates (conversion of energy into luminous flux) than conventional lamps, improves lighting levels within public space and reduces visual pollution and light waste. due to their physical strength and technology, led lamps have a much longer service life (up to 40 times) than conventional incandescent lamps, and can be recycled. the project improves access to electricity, as the energy saved can be distributed to users who currently do not have access to electricity services in homes, businesses and industries. in addition, a proper lighting design improves light levels, increases the safety and aesthetic appeal of the city for residents and visitors. in cooperation with the national government, the local public electricity company (empresa eléctrica de quito - eeq) and private stakeholders, in recent years the municipality has rehabilitated and optimized public lighting, focusing efforts on the historic center of quito, where 2,940 conventional bulbs have been replaced by efficient lighting systems (led),  with an investment of us $ 3 million, which implies a reduction in consumption equivalent to us $ 128,000 per year, which represents the displacement of 715,000 tco2e. the next step of the project is to replace the ornamental street lighting in quito, located in urban parks and green areas, which means the replacement of 1,756 luminaires concentrated mainly on poles (77%), the floor (17%) and facades (6%), with a budget of approximately us $ 1 million. in addition, all conventional quito rays will be replaced.",energy efficiency
vindobona wastewater treatment plant,"this project proposes to carry out a complete and adequate management of the liquid waste of quito generated by the population (domestic discharges) and productive activities (industrial discharges), through the interception, transport and treatment of the city's wastewater, decontaminating 246 km of quito's rivers and streams, minimizing the impacts that currently derive from direct discharges,  improving the quality of life of the population. the infrastructure consists of the construction of sewer main pipes and secondary marginal collectors, which transport wastewater to water recovery plants. interceptors will be installed, making bad odors disappear, improving air quality and peaceful citizen coexistence near the now polluted rivers. propose to transform the degraded areas of influence of rivers into usable areas for irrigation and hydroelectric energy, as well as green areas for recreation and landscaping, potential ecological correctors for the protection of biodiversity. in addition, the project proposes the generation of renewable electricity through the construction of three hydroelectric plants. in addition to making the project self-sufficient, the electricity generated will shift the sale of excess production (28 mw/h) to the city's or country's electricity distribution system. this will avoid thermoelectric generation, which will generate economic savings by avoiding the use of fossil fuels and at the same time reduce greenhouse gas emissions into the atmosphere. only one water recovery plant has been built in the south of the city, the quitumbe plant, with an investment of 12.5 million dollars.","vindobona wastewater treatment plant. this project proposes to carry out a complete and adequate management of the liquid waste of quito generated by the population (domestic discharges) and productive activities (industrial discharges), through the interception, transport and treatment of the city's wastewater, decontaminating 246 km of quito's rivers and streams, minimizing the impacts that currently derive from direct discharges,  improving the quality of life of the population. the infrastructure consists of the construction of sewer main pipes and secondary marginal collectors, which transport wastewater to water recovery plants. interceptors will be installed, making bad odors disappear, improving air quality and peaceful citizen coexistence near the now polluted rivers. propose to transform the degraded areas of influence of rivers into usable areas for irrigation and hydroelectric energy, as well as green areas for recreation and landscaping, potential ecological correctors for the protection of biodiversity. in addition, the project proposes the generation of renewable electricity through the construction of three hydroelectric plants. in addition to making the project self-sufficient, the electricity generated will shift the sale of excess production (28 mw/h) to the city's or country's electricity distribution system. this will avoid thermoelectric generation, which will generate economic savings by avoiding the use of fossil fuels and at the same time reduce greenhouse gas emissions into the atmosphere. only one water recovery plant has been built in the south of the city, the quitumbe plant, with an investment of 12.5 million dollars.",water management
green blanket,"the project is a mechanism of action against climate change, generating vegetation cover in green areas and municipal areas that have become garbage dumps and dumps; the project has reached all parishes, both urban and rural.","green blanket. the project is a mechanism of action against climate change, generating vegetation cover in green areas and municipal areas that have become garbage dumps and dumps; the project has reached all parishes, both urban and rural.",public and green spaces
composting and recycling center,"promote the creation of a waste collection center, which includes recycling and composting processes.","composting and recycling center. promote the creation of a waste collection center, which includes recycling and composting processes.",waste management
urban household solid waste management plan of the municipality of escuintla,"financial aspectsin this chapter, the preliminary cost-benefit analysis (pre-feasibility) of the two validated viable alternatives for the integrated management of waste and solid waste of the municipality of escuintla and its respective administration alternatives is carried out, so that the possible income and costs of the planned technical options can be glimpsed. as indicated above, it is proposed that alternative 1 be developed in the municipality of escuintla on its own, while alternative 2 should be carried out jointly.10.1. alternative 1the investments of this alternative are: (i) for the purchase of waste collection and transport trucks; ii) the construction of the plant for the segregation of organic and inorganic waste and the treatment of organic waste to produce compost, including the acquisition of the land, the conformation of the land, the civil works, including the perimeter wall among others and the machinery and equipment;iii) the adaptation of the land for the excavation of cells, their waterproofing,  leachate lagoon, where inert rejects will be unloaded, including machinery and equipment, that is, having a sanitary filling; (iv) unforeseen events; (v) health education programme; and (vi) system administration. table 10.1 shows the investment of each of these six (6) items, for a total of q. 20,466,793.table 10.1 – investments for the implementation of alternative 1 in escuintla (data expressed in quetzals). in this chapter, the preliminary cost-benefit analysis (pre-feasibility) of the two validated viable alternatives for the integrated management of waste and solid waste of the municipality of escuintla and its respective administration alternatives is carried out, so that the possible income and costs of the planned technical options can be glimpsed. as indicated above, it is proposed that alternative 1 be developed in the municipality of escuintla on its own, while alternative 2 should be carried out jointly.10.1. alternative 1the investments of this alternative are: (i) for the purchase of waste collection and transport trucks; ii) the construction of the plant for the segregation of organic and inorganic waste and the treatment of organic waste to produce compost, including the acquisition of the land, the conformation of the land, the civil works, including the perimeter wall among others and the machinery and equipment;iii) the adaptation of the land for the excavation of cells, their waterproofing,  leachate lagoon, where inert rejects will be unloaded, including machinery and equipment, that is, having a sanitary filling; (iv) unforeseen events; (v) health education programme; and (vi) system administration. table 10.1 shows the investment of each of these six (6) items, for a total of q. 20,466,793.table 10.1 – investments for the implementation of alternative 1 in escuintla (data expressed in quetzals).there is no room to upload the peoyecto file","urban household solid waste management plan of the municipality of escuintla. financial aspectsin this chapter, the preliminary cost-benefit analysis (pre-feasibility) of the two validated viable alternatives for the integrated management of waste and solid waste of the municipality of escuintla and its respective administration alternatives is carried out, so that the possible income and costs of the planned technical options can be glimpsed. as indicated above, it is proposed that alternative 1 be developed in the municipality of escuintla on its own, while alternative 2 should be carried out jointly.10.1. alternative 1the investments of this alternative are: (i) for the purchase of waste collection and transport trucks; ii) the construction of the plant for the segregation of organic and inorganic waste and the treatment of organic waste to produce compost, including the acquisition of the land, the conformation of the land, the civil works, including the perimeter wall among others and the machinery and equipment;iii) the adaptation of the land for the excavation of cells, their waterproofing,  leachate lagoon, where inert rejects will be unloaded, including machinery and equipment, that is, having a sanitary filling; (iv) unforeseen events; (v) health education programme; and (vi) system administration. table 10.1 shows the investment of each of these six (6) items, for a total of q. 20,466,793.table 10.1 – investments for the implementation of alternative 1 in escuintla (data expressed in quetzals). in this chapter, the preliminary cost-benefit analysis (pre-feasibility) of the two validated viable alternatives for the integrated management of waste and solid waste of the municipality of escuintla and its respective administration alternatives is carried out, so that the possible income and costs of the planned technical options can be glimpsed. as indicated above, it is proposed that alternative 1 be developed in the municipality of escuintla on its own, while alternative 2 should be carried out jointly.10.1. alternative 1the investments of this alternative are: (i) for the purchase of waste collection and transport trucks; ii) the construction of the plant for the segregation of organic and inorganic waste and the treatment of organic waste to produce compost, including the acquisition of the land, the conformation of the land, the civil works, including the perimeter wall among others and the machinery and equipment;iii) the adaptation of the land for the excavation of cells, their waterproofing,  leachate lagoon, where inert rejects will be unloaded, including machinery and equipment, that is, having a sanitary filling; (iv) unforeseen events; (v) health education programme; and (vi) system administration. table 10.1 shows the investment of each of these six (6) items, for a total of q. 20,466,793.table 10.1 – investments for the implementation of alternative 1 in escuintla (data expressed in quetzals).there is no room to upload the peoyecto file",waste management
