area,title+desc
waste management,"change fuels from waste collection fleet. rio de janeiro has a project for changing the fuel type from the waste collection fleet, managed by comlurb, a municipal company responsible for waste management"
outdoor lighting,"led street lighting. develop a public-private partnership to improve, modernize and increase outdoor lighting in the city, aiming to use led lamps city-wide"
energy efficiency / retrofit,"energy efficiency in municipal schools. a study was developed by the world bank on opportunities and costs for energy and water efficiency and solar power use in municipal schools buildings. rio de janeiro has more than 1400 schools buildings and this project would have a great impact. the study is in its second phase, looking for business models that would allow it to be implemented"
waste management,"recycle sampa. the first composting center of the sustainable fairs and gardens program, called the lapa pilot patio, was created to prevent organic waste (fruits and vegetables) collected at free fairs in são paulo from being disposed of in landfills. by the project, the material will be recycled and transformed into ecological fertilizer. the equipment serves as a reference for other patios and four composting centers that will be implemented in the city. the initiative is carried out by the secretariat of services, through the municipal authority for urban cleaning (amlurb), in partnership with the regional city hall of lapa and the company inova, responsible for cleaning services in the north, west and central regions of the municipality. located in an area of 3,000 square meters in the subprefecture of lapa, since september the pilot yard has been receiving around 35 tons of organic waste per week, collected at 26 fairs in the region. of mobilization and joint work to increase the amount of solid waste recycled in our city. with everyone&#39;s participation, são paulo, one of the largest urban centers on the planet, can become an example of success for brazil and the world in this area. for this, the recycling movement sampa was created, an initiative of the city&#39;s waste concessionaires: loga and ecourbis, with institutional support from the city of são paulo, through the municipal authority for urban cleaning, amlurb. in 500 thousand tons the amount of waste sent to municipal landfills in the period of four years, according to the plan of goals of the city of são paulo for 2020. importance of treating the waste we generate with more responsibility. its objectives are fully integrated into national and municipal solid waste policies. the goal (24) is to reduce by 500 thousand tons the volume of garbage sent to landfills. in 2017, the total volume destined in the municipality to these places was 3,763,592 tons. a number that already represents a reduction of 126,912 tons in relation to the annual average measured between 2013 and 2016.but it is possible to reduce much more in the future. the potentialities are the size of são paulo. while around 40% of the waste generated by são paulo residents could be being recycled, only 7% is currently being recycled"
transport,"plates for active transport. signs for active transport: the objective of the project is to create facilities, through visual and universal communication, so that people can walk and cycle more efficiently, comfortably and quickly through the streets of belo horizonte. through the implementation of specific signs and focused on who is walking and cycling, the project aims to shorten the distances between specific points of the city to optimize the displacements of active transport in the city. initially, the project will be implemented in the city center"
transport,"zones of 30 km. 30 km zones: implementation of five new 30 km zones, with traffic calming measures (zigzag spaces, green areas in road adaptations, signage with horizontal and vertical signs and some speed limit cameras) and urban furniture with recycling pallets and used tires. the first 30 km zone in belo horizonte will be implemented in 2016, as a pilot project, the result of solutions (http://www.urban-mobility-solutions.eu/). all the proposed areas are part of the central area of belo horizonte and are part of the collaborative map produced by the cyclists&#39; workshops that indicated urban solutions for bicycles. civil society also suggested this measure (30 km zone) to be incorporated into the sustainable urban mobility plan of belo horizonte (planmob-bh) in a participatory process in 2014 (iv urban conference). a kind of win-win action, this project can stimulate walk and cycle transport modes and improve public space and local environment"
transport,"cycling infrastructure:. cycling infrastructure: implementation of 150 km of bike paths and cycle paths (map here: https://drive.google.com/file/d/0b3tqa2yarwrackxaekzxcwpkcfk/view) fully integrated with public transport. these 150 km are 36% of the network of cycles planned in the planmob-bh (sustainable urban mobility plan for belo horizonte) with a total of 410 km. the contribution of the typology of cycle projects was discussed with cyclists who produced a report with their issues for each street, and is the result of an agreement with civil society (cyclists) and public sector (municipality) that each cycle infrastructure needs to be discussed with civil society before implementation"
transport,"urban mobility observatory. urban mobility observatory (new website and tools): since 2013, belo horizonte has had an urban mobility observatory, based on indicators to assess the results of belo horizonte&#39;s sustainable urban mobility plan and a group of 64 stakeholders (including social movements , universities, technical associations, public institutions from other sectors, etc.). the current website (www.bhtrans.gov.br/observatorio) has some sections to disseminate information (library, pages of indicators) and to stimulate discussion (critical opinions) about the problems and solutions of urban mobility. the content of this project is to improve this site with new tools such as a digital library with browser, information sheets on good practices, a platform to receive ideas from civil society based on maps and a digital edition of the urban mobility balance sheet, an annual report with the result of key indicators. the group of indicators used by the observatory includes environmental issues, such as global and local emissions, and is very useful to also assess the effectiveness of the pregee - plan to reduce greenhouse gas emissions"
energy efficiency / retrofit,"solar schools. the objective is to advance, from the base provided by the study of accenture, towards the development of a “how to do” a solar school. in this regard, a case study is being developed, using the cemig 2018 call for proposals aimed at municipal school projects and which intends to develop the following actions in a specific school:• retrofitting to improve the energy efficiency of the building;• demonstration of results;• labeling in the procel-edifica program;• assessment of benefits to the community;• post-occupancy assessment;• identification of maintenance routines and potential for improving efficiency and savings also in administrative routines related to energy efficiency"
waste management,"pev&#39;s project in schools. pev&#39;s project in schools - the project consists of setting up voluntary waste delivery points in municipal schools in partnership with an association of collectors, as well as carrying out environmental education with teachers and students. the value of the project includes the space recycling attitudes, which range from cleaning the site, painting the wall, planting, applying recyclable materials with gardening, creating street art on the wall, installing the collection box for selective collection and eight big bags for waste storage"
energy efficiency / retrofit,"energy efficiency in public buildings of the amg public administration. problem/justification according to the inventory of greenhouse gases of the metropolitan area of guadalajara, the stationary energy sector is the cause of 38% of the total emissions generated in the amg, product of the electrical energy consumed in domestic buildings, government and commercial buildings. for this reason, it is important to initiate a transition to clean energy that can be used in buildings. likewise, an analysis was carried out of the governing instruments of the amg municipalities in terms of climate change, the municipal climate change programs (pmcc), in order to find synergies in the reduction and mitigation objectives in the energy sector, as well as in the actions that are part of said instrument or outside of it, referring to energy efficiency. it should be noted that 5 of the 9 municipalities already have their program (guadalajara, ixtlahuacán de los quinces, juanacatlán, tlaquepaque and zapopan); 2 more are being prepared (tonalá and tlajomulco); and only 2 do not have this (el salto and zapotlanejo). some of the most relevant actions that could be identified are the following: • change of lighting to led. • efficient air conditioning in public buildings, homes, and commercial establishments. • energy efficiency in residential energy consumption and construction or bioclimatic adaptation in buildings.• zero energy program for buildings and public spaces.• energy efficiency code.• purchase of clean energy.• renewable energy generation (photovoltaic panels).• substitution from the government vehicle fleet to electric cars.• solar heaters.therefore, despite the fact that the municipalities are currently developing specific actions in terms of energy generation and efficiency, there is no technical study (diagnosis) for the establishment of a baseline and analysis of the feasibility of intervention. the implementation of a diagnosis in buildings public is of high importance; constituting as a priority element for all the municipalities that are part of the amg, implement generation and energy efficiency actions to reduce greenhouse gas emissions based on a technical diagnosis, in which they are expressed: co2e reduction goals ; visualization of costs; and a prioritization of the actions to be carried out according to their feasibility. objective: prepare an analysis and diagnosis of the energy demand of the amg government buildings, in their facilities and equipment. based on this, propose solutions to achieve a reduction, both in energy consumption and in economic spending, derived from an improvement in energy management and efficiency, as well as the application of more efficient technologies without reducing energy comfort. some areas of opportunity • due to the great capacity of the metropolitan area, in terms of electricity generation through solar energy, the possibility of incorporating clean energy generation through photovoltaic panels is proposed, which will result in greater energy autonomy, as well as a decrease in expenditures for the payment of cfe bills. the proposal on the remainder of this operation, the savings, is based on the formation of a metropolitan fund that can designate that resource for the replication of the same project or other climate change projects. • establish the feasibility of replacing combustion vehicles with hybrid and electric vehicles to reduce ghg, adding to the energy transition. • socialize the issue with the state energy agency of the state"
waste management,"“integral management of urban solid waste in the amg”. this project has the following points as its objective: • reducing the amount of urban solid waste, which is sent to a sanitary landfill, as a result of promoting a better segregation of the waste and its delivery to collection centers that will serve as intermediaries with parties stakeholders. • update municipal programs for the comprehensive management of urban solid waste and establish networks that allow for inter-municipal collaboration • familiarize the population with the issue of &quot;waste prevention&quot; so that it is a practice adaptable to daily life and the population is capable of making decisions in a conscious manner. proposals the following describes the activities, by management stage, that are sought to be included and implemented within the amg municipalities to update their programs or municipal plans for comprehensive waste management. urban solids. prevention and generation, segregation at home, primary separation, secondary separation, inorganic waste that is difficult to recycle, delivery and collection of waste, collection center establishments, clean points, recovery of equipment for second use, waste collection expected results achieve a reduction in waste that are sent to the landfill an environmental education program is started to educate and raise awareness among the general population for a continuous improvement in the results reach agreements with private companies to have a great coverage in the amg improve the image of the amg by correct segregation and location of collection points and collection centers reduce emissions from waste transfer likewise, it is important to encourage new technologies that make it possible to treat waste that up to now is difficult to recycle and are sent to landfills consider the issue of charging for collection services, always that it is beef waste that is difficult to recycle or waste that has not been correctly segregated"
water management,"filter gardens. filtering gardens: the problem of sanitation and protection of rivers is complex in nature and throughout history the city has still not been able to address them to the extent necessary to reverse the degradation scenario. therefore, it is essential to join forces and use innovative action strategies. from this perspective, some water cleaning and treatment technologies were researched and debated as complementary alternatives to basic sanitation. among the researched alternatives, the technology called filtering gardens was identified as appropriate for this context. this technology presents some characteristics considered important for its application in the city. among them, the relatively simple and low-cost management of the systems; the possibility of water treatment systems being inserted as water gardens with landscape qualities; the use and protection of riverside areas as public areas for environmental recovery, avoiding future occupations and environmental risks; and the emission level of greenhouse gases (ghg) significantly lower than other conventional sewage treatment systems. in the context of the reef, what is proposed is to use filtering garden systems in some stretches of polluted streams, but which still have great potential to recover their environmental qualities, and to become leisure areas for the population. the stretches were selected based on the characteristics of the existing streams and their surroundings (type of urban occupation, topography, water flow, etc.), as well as the observed potential to assume role as exemplary interventions for a new standard of urban action in urban streams from the reef. that is, to establish a paradigm shift in the city. in objective terms, the main guideline to be considered here is the break with the still dominant concept that promoted the rectification and waterproofing of a good part of the reef&#39;s creeks as the main way of protecting urbanized areas from floods. in this way, the four areas selected for the installation of filtering gardens comprise the region of the capibaribe park and the jiquiá park, offering improvement of the waters in the capibaribe river, and the jiquiá and tejipió rivers"
energy efficiency / retrofit,"solar energy in municipal buildings. solar energy in municipal buildings in view of the actions foreseen in the reef&#39;s ghg emissions reduction plan, the solar energy project for equipment in the city hall of recife aims to install photovoltaic panels, generating 28.251 mwh annually to supply municipal public institutions and reduce gee impacts at 7,789.18 tco2e. with the installation of these panels, the city hall will produce energy for public institutions, but will also promote environmental education from the visibility of solar panels throughout the city, giving the population an example of a sustainable way to generate their energy. in this scope, it is also necessary to articulate with other public and private spheres for the establishment of goals and incentives to encourage the use of clean energy by the population. in modules, prioritizing action in the pcr headquarters building, in municipal schools and daycare centers, in the city&#39;s gyms and, finally, in upinhas and family health units. if implemented, this project will generate annual savings of r$17,424. 000.00 to municipal coffers from the sixth year of application. in this way, by 2037, when the reef turns 500 years old, the municipality will have stopped spending r$268,360,000.00 on energy bills"
waste management,"ecobarriers. ecobarreiras the habit of the population of the reef to throw their garbage in the waters of the rivers that cross the city dates back to the period of dutch urbanization, when the population was encouraged to dump their waste on the bank of the capibaribe river to make landfills. this habit is currently a chronic problem. when this residue reaches the drainage system, it can cause obstruction of channels and an increase in the frequency of floods, as well as the alteration of the quality of water bodies due to the long time for its decomposition, as is the case of plastics, and also the passage of aquatic animals. when they follow the course of the river, they end up being discharged into the sea, causing silting up; preventing the development of mangroves; harming fauna, such as when they are accidentally ingested or when a bag gets stuck around an animal&#39;s neck and causes its hanging; contaminating estuary waters; favoring the propagation of disease-transmitting vectors and making nautical sports and tourism activities difficult. in addition to the high cost, it is a temporary solution and difficult to be effective. therefore, proper management must start with preventing waste generation, which is the responsibility of all citizens and the public authorities. no policy can be truly effective without the adherence and participation of the population.parallel to the performance of municipal solid waste actions, the installation of eco-barriers is estimated. ecobarriers are physical obstacles made of floating material, installed close to the mouths of rivers and streams, and which represent an alternative way of cleaning up the course of water in rivers and canals by containing solid waste from anthropic action in the environment. despite recognizing that the implementation of this equipment cannot be seen as an end goal as it is a palliative way of dealing with the issue of waste that ends up in bodies of water, it is possible to find cases of success of its application in other cities do brasil.in addition to their palliative effect in the collection of floating waste, eco-barriers play a significant role in environmental education. it is an itinerant environmental education action to give visibility to the problems of solid waste in rivers, allowing awareness campaigns in the city. the methodology envisaged for its application provides for the formulation and implementation of effective alternatives for the recovery and structuring of the region&#39;s ecosystems in an integrated and participatory manner with the environment and local communities, also relying on educational actions. in this way, it will seek to provide a harmonious and balanced environment so that society can enjoy it responsibly, as well as improving the quality of life and sustainable development of the communities and populations involved. a portion of the floating garbage present in the city&#39;s rivers, both through its direct collection and through the reduction of the amount of garbage emitted by the population. furthermore, the purpose of the project is to significantly retain the input of solid waste in the piped rivers arruda and jordão, in the neighborhoods of bebeibe and boa viagem, in addition to the rainwater channels that flow into the apipucos dam. environments, it is expected to promote conditions for the harmonious development of aquatic organisms, generating ecologically balanced environments"
waste management,"smart manholes. intelligent manholesthe daily production of waste is a major problem for large brazilian cities. although the collection system has undergone considerable improvements in recent years, such as selective collection for example, it often proves to be inefficient. the result of this is the frequent accumulation of non-degradable waste in inappropriate places, such as manholes and storm drains. the clogging of drainage routes reduces the flow of rainwater, causing flooding. when they do not stop at the visit points (culverts), which are part of the city&#39;s sewage network, this garbage is destined for streams and rivers, polluting them and facilitating the overflow of their waters in times of floods. although part of this pollution is due to irregular sewage routes and the lack of sewage treatment, street garbage is also largely responsible for the degradation of streams and rivers. polluted rivers and floods cause inconvenience to the population and traffic, compromising properties and even loss of life. the reef has around 1500 km of galleries and channels that make up the municipality&#39;s drainage system. as it is a city that is practically at sea level, and because it is already experiencing some effects from climate change, the reef suffers from the incidence of flooding in specific posts. when it rains, the situation tends to worsen in these places. an action to clean galleries and gutters recently carried out by the city hall in a single street in a neighborhood of the city showed that in just one day of operation, 45 tons of waste were removed. therefore, it is desirable to apply measures to prevent this waste from reaching the city&#39;s drainage network. known as &quot;intelligent manholes&quot;, the technology offers an efficient solution to solve this problem. it is a filter that is placed in the city&#39;s manholes, presenting itself as physical barriers and preventing the waste from flowing out. coupled to this mechanism, sensors are installed that indicate the volume of garbage retained in the filter. this information is monitored by the city&#39;s urban cleaning company through an application/software, which sends a team responsible for emptying the filter. workers can complete the service in 5 to 10 minutes, while the traditional cleaning method takes 40 to 50 minutes. this fact leads to more manholes being cleaned in a shorter period of time in the city, leading to a reduction in public spending. in addition, due to the nature of the waste that ends up in gutters and manholes being plastic objects, these materials can be sent for recycling. in order to reduce, mainly, the habit of throwing garbage in the streets. for this project, the aim is to apply this technology in a neighborhood of the city of recife, totaling 213 culverts"
transport,"cycle lanes for the weather. cycle lanes for the climate the main objective of the project is to improve the city of recife with an efficient cycle path system, which meets the cycling master plan for the metropolitan region of recife and the ghg reduction plan for the reef (low carbon plan), with actions that provide for the implementation of tree-lined bicycle lanes. for this reason, priority will be given to the city&#39;s structuring cycle paths, ensuring their afforestation and, in this way, reducing the city&#39;s heat islands and ghg emissions. cycle path and 100% of the low carbon plan target, ensuring that 22,220 tco2e are no longer emitted due to the implemented cycle paths and 550 tco2e due to afforestation, totaling 22,770 tco2e of mitigation annually"
transport,"plano cicloviário. in order to expand the supply of bike lanes and bike routes, the city is planning to significantly increase the extent of these lanes and bike routes in the coming years. the implementation of bike lanes will include private financing, through environmental compensation.in 2016, two bike lanes have been implemented (in baden powel and norte-sul avenues) and at least 30 km in executive projects are being funded by municipal fund of environment"
buildings,"casa da sustentabilidade. the house of sustainability is planned as a model of sustainable technology and construction solutions. the house design was funded by the city via a contest; however, the implementation of the project will involve private entities that are interested in relating its image to questions of sustainability"
waste management,"project: eco goiânia. it establishes guidelines for the adoption of dumps by social, private or individual entities, to be installed along the public streets, in front of their establishments and / or in any other place of their choice in the municipality of goiânia and publicity of the acts"
transport,"bus rapid transit norte-sul. implantation of exclusive bus lines along the city's structural axes, including the implementation of a 20-kilometer brt (bus rapid transit) north-south line"
waste management,"selective collection of urban waste. implementation of vehicles for the collection of recyclable waste and 3 cooperatives, i emphasize that the project foresees, at the end, the implementation of 4 cooperatives.viability of biomass energy transformation plant and recycling plant for civil construction waste"
water management,feasibility study for the treatment of wastewater in the district of barranquilla. seeks to optimize and expand the barranquilla wastewater treatment system
waste management,"mejoramiento y construccion de vias, y acopio de residuos solidos. accessibility and improvement of solid waste collection infrastructure responds to the problem of poor service in the treatment of solid waste that has increased in parallel with the growth of population and urbanization of the city"
transport,"sustainable mobility. this is a project financed by euroclima plus (urban mobility component) aimed at making the existing urban mobility plan operational, generating an implementation model in the park of an emissions mitigation program. there is a financing of $21,000,000 and an additional budget is required"
waste management,"expand dry waste recovery management capacity. development of 3 additional green centers and 2 waste transfer stations in order to complete the management and recovery scheme for urban solid waste in its fractions (recyclables, construction and demolition waste, green and bulky waste). in them, it is intended to treat these fractions separately, avoiding their destination to the waste dump. in the transfer stations, the separation, conditioning of recovered aggregates and the chipping and composting of garden waste will be promoted"
energy efficiency / retrofit,"energy efficiency. as part of the city&#39;s public lighting system readjustment plan, in which $35,000,000 is already being invested to replace lighting fixtures in the main arteries, it is intended to generate additional financing to incorporate public green spaces and the main public spaces into the project. municipal public administration buildings (headquarters and cpc, among others). these actions may mean between 30 and 60% energy savings with the consequent reduction in greenhouse gas emissions"
outdoor lighting,let&#39;s light up chihuahua street lighting replacement project
transport,"walkable city. make improvements to the sidewalks, parks and boulevards of the city in order to make it easier for people to walk in the city leaving their vehicle at home"
transport,intermodal nodes. construction of intermodal nodes in the city to make it easier for residents and visitors to get around
transport,road rearrangement. changes in the circulation of vehicles so that greater speed is achieved and dams are avoided
waste management,"selective collection and a municipal plant for the collection and treatment of separated waste. (1) strengthening and expansion of selective collection in the canton, accompanied by a communication, education and awareness campaign on waste management. (2) construction and operation of a municipal complex for the storage of valuable waste collected classified. this complex or plant will include operations to treat separated waste, and will make it possible to provide, in particular, some recovery method for organic waste on a larger scale."
transport,"bictionaries increase in kilometers of bike lanes in the canton, as well as all the logistics, education, and creation of culture for their proper use"
water management,"sustainable urban drainage systems for the great green lung of the city of merida. the project has 4 lines of work. - implementation of 2 suds, - implementation of suds in urban parks and primary roads - environmental education for the use and exploitation of water, and - improve the quality of rainwater that recharges the aquifer two areas were identified for the implementation of the pilot and the executive projects are being carried out for avenues mérida 2000 and 132. technical advice is provided by the world resources institute (wri) mexico. in this line of work, progress has been made from the conceptual idea to the identification of the possible suds to be implemented, the financial sources and mechanism for the operation of the project. state of the financing, there are areas of the city council for the execution of works and maintenance, as well as content image, dissemination and environmental education. each with amounts earmarked for the operation of their functions. for the implementation, a specific amount has been earmarked by the public works department of the city council. for the implementation of the suds in the gran pulmon area, financing and investment mechanisms are being explored with the advice of wri, mexico. at this time, the ordinary amounts already allocated are being used, with the expectation of obtaining extraordinary amounts or including these activities in the following year&#39;s budget. project description this project is based on the identification that &quot;water quality&quot; is our main tension for urban resilience and the planning process of the master plan of the green lung of the western area of the city of mérida. in 2017, the urban resilience profile for the city of mérida was carried out, which identified impacts and tensions that were grouped into 11 priority issues for attention, highlighting the high levels of contamination of the aquifer by anthropogenic activities. in december 2018, the master plan for the great green lung of the city of mérida was carried out, which is made up of 4 axes of urban intervention: public space, sustainable urban mobility, social coexistence and the environment. the environmental axis proposes developing projects for flora, fauna, solid waste, energy efficiency, water, and environmental education. regarding water, the implementation of sustainable urban drainage systems (suds) is proposed, therefore, in april of this year, the suds project for the great green lung began. the objective is to implement sustainable urban drainage systems (suds) such as green ditches, biowater retention areas, rain gardens and permeable floors in urban parks and roads in the area where the &quot;great green lung of the city of mérida&quot;, as part of the actions aimed at urban water management that allow mitigating the impact of urban development on the aquifer and the problems of quantity / quality of urban runoff. the implementation of the suds will have a high environmental and social impact for 56 thousand homes and more than 122,981 inhabitants (14.8% of total pop.), since it is located in one of the areas with the highest population and housing density, which concentrates urban parks with a high ecological, eco-archaeological and archaeo-botanical value. this project will allow rainwater to be collected, infiltrated and purified by bioremediation, mitigating contamination of the aquifer and favoring its recharge naturally. improvements have already begun in small neighborhood parks in the area and the preliminary projects for each intervention have been developed. if implemented successfully, these systems can be developed in the rest of the municipality. at this stage, the amount of the project is not available. there is no total estimate of the project or the total cost of the investment."
waste management,"environmentally responsible restaurants the environmentally responsible certification is a program aimed at restaurants with space for diners in the city of merida. it is the result of collaboration between the merida city council and iclei, the international environmental agency for local governments, through the secretariat of mexico, central america and the caribbean. the diffusion, inspection and evaluation of the participating restaurants was carried out through a collaborative team between members of the sustainable development unit, the chambers (kanaco, canirac and the amhy) and members of civil societies take out your sabucán and zero garbage yucatán .the objective is to recognize and promote good practices in restaurants in the municipality of mérida, due to its responsible vision in relation to the environmental issue and the innovation of social management, seeking to make it transversal and multidimensional, promoting green and inclusive entrepreneurship, with the in order to promote food security, contributing to local strategies to mitigate the effects of climate change, use of the minimax system for the equipment for the collection and management of urban solid waste. 10 million pesos. to date, distinctions have been granted to 26 restaurants in the city, which have implemented the following: good practices clean advertising campaign to reduce disposables energy and water saving system proper water management saving facilities care of green areas sustainable signage sensitized staff local suppliers menu inclusivereduction of wasteas well as the following benefits:contribution to the sustainability of meridacontribution to social justice and local inclusionreduction in the ecological footprint of restaurantsincreased corporate social and environmental responsibilitygood practices with projected savingstrained and aware staff"
energy efficiency / retrofit,"energy efficiency and sustainability program in municipalities, schools and hospitals (presemeh). the municipality of merida was considered to participate as a pilot subproject in the buildings sector of the energy efficiency and sustainability project in municipalities (presem). the selected buildings owned by the municipality to implement energy efficiency and power generation actions are the following:1. municipal palace2. administrative building3. san benito market4. santa ana market5. chuburná market the scope of the subproject considers the removal and disabling of equipment for: air conditioning and compressed air which, due to their age and technical characteristics, reflect a high energy consumption; removal of luminaires with fluorescent lamps and replacement with led luminaires; installation and commissioning of high-efficiency equipment to replace the current ones (lighting and air conditioning); installation of polarizing film, replacement of polycarbonate sheets of the natural light incidence dome system; as well as proper management and final destination of construction waste, hazardous waste such as refrigerant gas, oils and mercury from lamps; similarly, the scope considers the installation and commissioning of photovoltaic systems interconnected to the electrical network of the federal electricity commission. the supply of all materials and equipment required for its correct operation is included, complying with the requirements and official mexican standards in force and applicable good practices"
outdoor lighting,"street lighting. in the municipality of mérida for public lighting, we have a monthly energy consumption of approximately 4,900,000 kwh with sodium vapor lamps, 34% of this consumption is supplied by renewable energy, that is, 1,666,000 by the company geothermal, the rest is supplied by cfe. the department of public services, within its commitment to ecology and the reduction of ghg gases, is studying the possibility of changing sodium vapor lamps and metal additives to led-type lamps, which consume around from 40% to 50% less electrical energy and that would have an impact on the reduction of co2 gases by generating energy of 14.44 kg per month per luminaire replaced. with the change of led-type luminaires, we could obtain better lighting at a lower cost and with less co2 emission, which makes the use of energy more efficient in the field of public lighting for the municipality of mérida, yucatán."
waste management,"household selective collection. the project will be financed by the city hall with partnerships. the management plan is an instrument that aims at ordering and correct use of a conservation unit and is provided for in snuc law 9.985/2000. initially, the project would be fully financed by the city hall, but after establishing a partnership with higher education institutions, we verified the possibility of establishing partnerships with companies to share the costs and environmental gains."
energy efficiency / retrofit,"led public lighting. led bulbs are more efficient, last much longer and consume less energy. over the years, this math becomes very favorable to the municipality. in all, the capital of amazonas already has 42,268 led lighting points installed and 11,242 metallic vapor lamps (white light), representing a 41.5% improvement in public lighting in manaus"
waste management,"gas power generation - mdl. capture of methane gas in its sanitary landfill, installed at km 19 of am–010 (road that connects the capital to the municipality of itacoatiara). the estimated electrical potential is 10 megawatts, which is already being captured in the form of gas. with the installation of a new generator, it makes the entire operation of the complex self-sufficient and still generates a surplus of 120 kilowatts/hour of clean energy. in addition to energy production, the capture of biogas installed in the complex continues to break down methane gas, 22 times more impactful on the greenhouse effect than carbon dioxide (co²), thus obtaining more carbon credits for the city of manaus"
water management,"monitoring of springs and water bodies in joão pessoa. the project aims to: map the main sources of watersheds in the municipality of joão pessoa, identifying them with metric coordinates, field visits and subsequent preparation of shape files; develop protection plans and actions for springs and water bodies in sub-basins, in addition to recovery plans for springs that require conservation interventions; obtain an environmental diagnosis of the conditions of the springs and water bodies of the main tributaries; subsidize inspection actions and licensing processes of the secretary of environment of the municipality of joão pessoa"
waste management,urban solid waste management plan. “juárez recicla” recycling of urban solid waste generated at home
water management,special waste management. “put your batteries on” collection of alkaline batteries of all sizes distributed in the collection centers in 50 oxxo stores
waste management,"sanitation of the waste tire collection center. &quot;collection, collection and final destination of waste tires&quot; program where the citizens participate in the collection, transfer to the collection center the importers of used tires and in the final destination the municipality of ciudad juárez (ecology department)"
waste recycling,"selective collection program. the project was implemented in the city hall and in daycare centers in the municipality, aiming at the collection, treatment and recycling of solid waste"
transport,"go for ethanol. the project is based on awareness and exchange of fossil fuels (gasoline) for ethanol, sustainable fuel and 100% brazilian"
energy efficiency / retrofit,"energy efficiency code. the city of monteria is developing the bea program: accelerator of efficiency in buildings in the city of monteria, which seeks to increase efficiency, reduce costs, reduce emissions and the risk of climate change, while improving the quality of life and the economic opportunities of the users; contributing to the elaboration of the energy and water efficiency code, as a mechanism for the implementation of resolution 594 of 2015 of the mvct. the workshop for the construction of the energy efficiency and water saving code was held with the strategic sectors of the city: construction companies , universities, and companies providing electricity and water service. in addition, the energy audit was carried out in the green center, a public administration building, for the development of the pilot that will allow the implementation of a sustainable energy model in the city&#39;s buildings."
waste management,segregation at the source and solid waste recovery plant. in search of efficient management of solid waste and according to legislative decree 1278 where it mentions that: municipalities must promote the minimization and valorization of waste. through this project it will be possible to produce compost through organic waste and it will be supported by recycling activities for its use
waste management,"implementacion del pgirs - estudios para la valorizacion de residuos de construccion. it will seek alternatives for the use of waste from cosntructions, seeking to optimize and minimize the final disposal of said waste"
water management,"adquisicion de predios de importancia ecologica - mantenimiento de predios y pago por servicios ambientales. the purchase of areas of strategic importance for the supply of aqueducts at the municipal level is carried out, in addition to the maintenance of the same. and the payment for environmental services is made in the properties that to date can not be made the purchase of the area"
waste management,"solid urban waste management (girsu) . measurement characteristics. 1-the processing of urban waste is a measure of local scope that tends to reduce the waste discarded and give work to recyclers in the city. the classification plant separates and sells 106 tons of inorganic waste per month. the property is 2,000 m2 and has state-of-the-art machinery for classifying and baling batches of waste. 2- acquisition and location of a 27-ha landfill site. in the southern part of the city, with a useful life of 10 years. it is estimated that, daily, some 185 tons of waste will be deposited there daily. some useful data is presented below: -kv 25% volumetric decrease due to biological degradation and compaction-kc 0.70 ton/m3 compaction of msw at the time of disposal-grsu 185.00 ton/day daily generation of msw ( average period 2014-2024)3- environmental education: in pursuit of increasing the percentage of inorganic waste that is rescued for recycling, a constant work of environmental education is carried out with primary and secondary schools, disseminating separation at source through a dynamic playful and interactive with environmental games for schools. 1-it is a modular type plant to classify inorganic waste developed in rafaela by the firm deisa. it consists of a niche, short belt, long belt, trommel, sleeves for the final disposal of organic and inorganic material, a compactor and 2 scales of up to 500 kg. the production headquarters is a municipal property, transferred through a municipality/cooperative agreement. , consisting of a shed of approximately 2000 m2, two gates, 1 side deck for dumping, 2 offices with private bathrooms and two changing rooms with showers for men and women, it has a bathroom for the disabled, a storage room for tools. the property is protected by a perimeter wall of material, making up a total of 7000 m2. as a possibility of improvement, the possibility of building a sum that consists of a kitchen and a first aid room is raised. 2-the sanitary landfill is in the stage of legal processes for final authorization. as well as, the logistics of the arrival of trucks with waste from the plant to the final landfill is being redesigned. this measure helps to mitigate climate change, to the extent that it eradicates the open-air dump that has been in existence for 100 years in the west area of the city. in addition, it dignifies the working conditions of 100 recyclers who worked without any preventive measures handling garbage and in the open air in the dump."
